"name","url","description"
"Accessibility is not a feature. — ethanmarcotte.com","https://ethanmarcotte.com/wrote/accessibility-is-not-a-feature/","I care pretty deeply about accessible design. I wouldn’t call myself an accessibility specialist, mind you, but I’ve always felt that “designing for the web” means ensuring our work is accessible as broadly as possible."
"Why it’s never a good time for service design","https://blog-louisedowne-com.cdn.ampproject.org/c/s/blog.louisedowne.com/2018/04/03/why-its-never-a-good-time-for-service-design/amp/","Picture the scene: you’ve just joined a new team, they’re doing good work but they’re plugging away at the wrong problem.  You bide your time, thinking of ways to bring them round."
"From Idea to App Store: A Design Sprint Case Study","https://uxplanet.org/from-idea-to-appstore-a-design-sprint-case-study-a7781093de8d","If you’ve ever worked on an app, you can only dream of that feeling of pure joy when you open the App Store and see your app featured on the homepage."
"The Core Model: Designing Inside Out for Better Results","https://alistapart.com/article/the-core-model-designing-inside-out-for-better-results","If you’ve worked on a website design with a large team or client, chances are good you’ve spent some time debating (arguing?) with each other about what the homepage should look like, or which department gets to be in the top-lev"
"Team Charters for Diverse Teams","https://medium.com/@Ellayanor/team-charters-for-diverse-teams-a50add65dd92","Team Charters are things which come up a lot, and are often triggers for really insightful conversations about how teams work together and function well. A team charter is basically a set of principles for how a group of people work as a team, that a team draft together and agree to abide by."
"Seven questions to build a roadmap","http://www.jamiearnold.com/blog/2014/07/22/seven-questions-to-build-a-roadmap","In my last post I wrote about why roadmaps are for everyone. This post is about techniques for building one and how the use of language can help align your pure agile or mixed methodology programmes."
"A user manual for me","https://medium.com/@cassierobinson/a-user-manual-for-me-d3a851fbc694","There are lots of ways to build good teams and working relationships. But, before you get to the relational matter of teams, platforms and systems, it’s important for people to know your preferences as an individual."
"The Importance Of Manual Accessibility Testing","https://www.smashingmagazine.com/2018/09/importance-manual-accessibility-testing/","Automated accessibility tests are a great resource to have, but they can’t automatically make your site accessible. Use them as one step of a larger testing process."
"Assistive technology tools you can use at no cost","https://accessibility.blog.gov.uk/2018/09/27/assistive-technology-tools-you-can-use-at-no-cost/","GDS’s Accessibility Empathy Lab is open to anyone from the public sector. Since we blogged about the lab, we’ve seen a huge increase in visitors coming in to use it as an assistive technology space."
