English,Sid
"Hello","Ay-oh"
"Milk","Nooz"
"Ice cream","A-nooz"
"Car","Buwm-ba"
"Sing","Mah-moz"
"Dance","Nh-nh"
"Sorry","Oi-oh"
"Tummy","Bdum-bdum"
"Sweets","Num-num"
"Barf","Water"
"Baby","Bubba"
"Jump","Dump"
